iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
1,38.617552761574274,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6175527615742737,0.7007131614092967,0.0,0.7821816502603839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,36.0,0,0.0,0.0,0.0,2.365224395244108,0.7187760089180976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,36.244517606512154,1,1.1056183731709104,0.3406267404528343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6129118603789059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226368008113183,0.9125312252280584,0.0,0.0
4,37.05305660750857,1,1.4990182579042988,0.6647380326533345,0.0,0.0,0.0,0.0,0.0,1.930045327815119,0.6549432133555635,0.4999426199620052,1.0530566075085734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,36.29473724235978,1,0.0,0.0,0.0,1.586165693816962,1.2947372423597767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3260154193666564,-0.2626642439985838
6,35.96924973982413,0,1.0580833187521064,0.765534975903787,0.0,1.918777272284197,0.9692497398241289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31525728857835605,-0.17350422876636762
7,38.23755466305287,1,0.0,0.0,0.0,2.269759742295938,0.8379853207387509,0.0,0.0,2.072858945634465,0.48776777896768697,0.0,0.0,0.15949938708604872,0.43827291076805464,0.40438655466285456,0.32671039667964774,0.2630551935571264,0.532003357451699,0.0,0.0,0.0,0.0
8,38.67523746463235,1,0.9518641072090914,0.38443699417861554,0.0,0.0,0.0,0.9790276277136731,0.6027687554499407,3.0724687091824086,0.6990761287106053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,39.10819901035602,1,1.0638969625387995,0.3383326530740747,0.0,1.6584622742406285,0.778482002635563,0.0,0.0,3.3297170077204576,0.6036389617881799,0.7849086522350944,1.3028940955066415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5612482183105237,-0.27432478965436213
10,37.16543406460117,1,0.0,0.0,0.0,0.0,0.0,0.9986749923616725,0.5760331981473392,1.2546296126553063,0.7447735741990735,0.0,0.8534003437735671,0.2597659298971491,0.2299000655517175,0.3154526171120007,0.3347712537985241,0.41371291989955006,0.20379833618892768,0.0,0.0,-0.3337547269294916,-0.2890148036926484
11,36.0,0,1.494712571597729,0.7318476217224863,0.0,0.0,0.0,1.1471141306408996,0.469074084458718,0.0,0.0,0.3684675844275674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,37.4760010118631,1,0.0,0.0,0.0,0.0,0.0,1.4152082833747404,0.6438019844074232,1.5323532700984805,0.691854099907016,1.218959857257409,0.0,0.29933600607711996,0.1959012982053405,0.20371161212450778,0.299845757357193,0.4628296902592243,0.240155151783505,0.0,0.0,0.0,0.0
13,36.31616148450063,1,0.0,0.0,0.0,1.2044721573334733,0.9150205085283636,1.304649736046132,0.4011409759722676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,37.65669414054809,1,0.0,0.0,1.0562234345349553,0.0,0.0,0.9750910637295811,0.5620719431308665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36635017643344,1.2590294658501107,-0.41221490205737454,-0.2589842991247881
15,35.930657547057095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5111800106795777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5805224636224784,-0.3015096528039741
