id,vrsta,naziv,tip_ucinka,kvalitativna_vjerojatnost,kvalitativni_utjecaj,vjerojatnost,cilj,minimum,najvjerojatnije,maksimum,ukljucen,obrazlozenje
T1,Prijetnja,Nizak odaziv dionika,glavni,Srednja,Srednji,0.45,A1.1,0.5,1.0,2.0,True,"Slabiji odaziv može produljiti prikupljanje podataka u visokom obrazovanju i, u manjoj mjeri, analizu potreba poduzeća."
T1,Prijetnja,Nizak odaziv dionika,dodatni,Srednja,Srednji,0.45,A1.2,0.25,0.5,1.0,True,"Slabiji odaziv može produljiti prikupljanje podataka u visokom obrazovanju i, u manjoj mjeri, analizu potreba poduzeća."
T2,Prijetnja,Neusklađenost konceptualnog modela,glavni,Niska,Visok,0.15,A2.1,0.5,1.5,3.0,True,"Ponavljanje validacije, izmjena zahtjeva i dorada koncepta."
T3,Prijetnja,Poteškoće integracije i kvalitete podataka,glavni,Srednja,Visok,0.45,A3.1,1.0,2.0,4.0,True,"Problemi s dostupnošću, formatom ili kvalitetom podataka mogu zahtijevati dodatno čišćenje i integraciju u prototipu te prilagodbu podatkovne podloge za primjere uporabe."
T3,Prijetnja,Poteškoće integracije i kvalitete podataka,dodatni,Srednja,Visok,0.45,A4.1,0.5,1.0,2.0,True,"Problemi s dostupnošću, formatom ili kvalitetom podataka mogu zahtijevati dodatno čišćenje i integraciju u prototipu te prilagodbu podatkovne podloge za primjere uporabe."
T4,Prijetnja,Niska prihvaćenost nadzornih ploča,glavni,Srednja,Srednji,0.45,A3.2,0.5,1.0,2.0,True,Slabija prihvaćenost može zahtijevati dodatno korisničko testiranje i doradu sučelja te manju prilagodbu načina primjene rješenja u konkretnim slučajevima uporabe.
T4,Prijetnja,Niska prihvaćenost nadzornih ploča,dodatni,Srednja,Srednji,0.45,A4.1,0.25,0.5,1.0,True,Slabija prihvaćenost može zahtijevati dodatno korisničko testiranje i doradu sučelja te manju prilagodbu načina primjene rješenja u konkretnim slučajevima uporabe.
T5,Prijetnja,Nedovoljna pouzdanost AI modela,glavni,Srednja,Visok,0.45,A4.1,1.0,2.0,4.0,True,"Nedovoljno pouzdani izlazi mogu zahtijevati ponovno treniranje ili prilagodbu modela, dodatnu evaluaciju performansi i ponovnu validaciju u prototipu."
T5,Prijetnja,Nedovoljna pouzdanost AI modela,dodatni,Srednja,Visok,0.45,A3.2,0.25,0.5,1.0,True,"Nedovoljno pouzdani izlazi mogu zahtijevati ponovno treniranje ili prilagodbu modela, dodatnu evaluaciju performansi i ponovnu validaciju u prototipu."
T6,Prijetnja,Kašnjenje publikacija i projektnih prijava,glavni,Srednja,Nizak,0.45,A5.2,0.25,0.5,1.5,True,"Dorada rada, recenzijski zahtjevi ili nepovoljan rok mogu odgoditi završnu diseminaciju i prijave."
