pokazatelj,vrijednost
broj_iteracija,50000
sjeme,42
rok,36.0
prosjecni_zavrsetak,36.25727391533109
najraniji_zavrsetak,35.00597840582385
najkasniji_zavrsetak,40.76828935413194
varijanca,0.5428902597174636
standardna_devijacija,0.7368108710635747
standardna_pogreska_prosjeka,0.0032951183885179714
p50,36.0
p80,36.85592215320881
p90,37.3562215217564
vjerojatnost_zavrsetka_prije_roka,0.32562
vjerojatnost_zavrsetka_u_roku,0.52272
vjerojatnost_kasnjenja,0.47728
ocekivano_kasnjenje,0.401784900225419
potrebna_rezerva_p80,0.8559221532088088
